trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-205.3704671113649,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-95.49040137117096,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,10,-58.11775460809495,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-95.01170184463903,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,1,-114.10703039748385,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-76.8025393160078,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-78.81368708159171,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-2.1267591743764744,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-96.77017411506992,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-207.18332363322796,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-84.58636906025599,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-170.50788499566772,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-74.70532582947672,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-196.54405150895914,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-109.10051909467563,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-72.77806026036792,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-71.30794330229618,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-158.06935003854727,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-169.26025193348488,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,7,-7.950015363767114,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-78.4054673458253,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-216.47779291089535,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",1
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-145.90369176332496,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-112.59024017632625,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-86.17183637592629,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-185.07498244320044,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,12,-37.92831462560906,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-33.88064560601644,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-36.29512820654962,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-52.93359118361801,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,9,-65.84119126758296,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-189.3008896048324,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-84.41585786832339,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,6,-9.041679658613889,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-116.28013210359042,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",35,0,-136.46435488574323,"{0: 27, 1: 1, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,11,-43.67582115140194,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-106.35873909223402,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-99.90013724991904,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-43.01538055845396,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,13,-51.01207065558315,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,9,-11.797786053486927,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,8,-30.9108803940723,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,7,-45.39244914774067,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,19.836847050091766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,4,-41.18138838736984,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,7.8802254265028235,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",35,1,-11.97644268903168,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,9.265311206918692,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,16,-27.923616143374495,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-34.25775468960467,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
