/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:green, O:right, L:forward, WP:forward, forward, 0.00, right, 1.29, None, 0.00, left, 0.00, right, 1.29
L:green, O:None, L:left, WP:right, forward, 0.62, right, 1.95, None, -4.55, left, 0.77, right, 1.95
L:green, O:right, L:right, WP:right, forward, 0.00, right, 0.63, None, 0.00, left, -9.65, right, 0.63
L:red, O:right, L:forward, WP:left, forward, 0.00, right, -14.95, None, 1.03, left, 0.00, None, 1.03
L:red, O:forward, L:left, WP:forward, forward, 0.00, right, 1.28, None, 0.00, left, -4.73, right, 1.28
L:green, O:forward, L:forward, WP:left, forward, 0.00, right, 0.58, None, 0.00, left, -9.58, right, 0.58
L:red, O:forward, L:left, WP:right, forward, -4.62, right, 1.88, None, 0.82, left, 0.00, right, 1.88
L:red, O:left, L:forward, WP:right, forward, -30.39, right, -14.66, None, 1.73, left, -35.12, None, 1.73
L:green, O:right, L:None, WP:right, forward, 0.41, right, 0.42, None, -2.27, left, 0.00, right, 0.42
L:green, O:left, L:left, WP:forward, forward, 1.45, right, 0.49, None, 0.44, left, 0.35, forward, 1.45
L:red, O:left, L:left, WP:right, forward, -8.36, right, 0.00, None, 2.25, left, -4.96, None, 2.25
L:red, O:None, L:right, WP:forward, forward, 0.00, right, 0.24, None, 2.09, left, -5.33, None, 2.09
L:green, O:left, L:None, WP:right, forward, 0.84, right, 2.50, None, 1.00, left, 0.66, right, 2.50
L:green, O:left, L:forward, WP:left, forward, 0.00, right, 0.28, None, 0.56, left, 1.57, left, 1.57
L:red, O:None, L:left, WP:right, forward, -8.00, right, 0.00, None, 1.26, left, -7.53, None, 1.26
L:green, O:left, L:right, WP:forward, forward, 0.00, right, 1.12, None, 0.00, left, 0.00, right, 1.12
L:red, O:left, L:right, WP:right, forward, -7.26, right, 0.00, None, 1.91, left, -5.03, None, 1.91
L:red, O:None, L:right, WP:left, forward, -7.89, right, -0.17, None, 0.86, left, -5.41, None, 0.86
L:green, O:forward, L:forward, WP:forward, forward, 1.76, right, 0.00, None, -3.66, left, 0.00, forward, 1.76
L:green, O:forward, L:forward, WP:right, forward, 0.29, right, 1.12, None, 0.00, left, 0.00, right, 1.12
L:green, O:left, L:None, WP:forward, forward, 2.49, right, 1.10, None, 0.69, left, 0.54, forward, 2.49
