/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:green, O:right, L:forward, WP:forward, forward, 0.00, right, 0.29, None, 0.00, left, 0.00, right, 0.29
L:green, O:None, L:None, WP:left, forward, -0.03, right, 0.37, None, -2.39, left, 1.87, left, 1.87
L:red, O:left, L:None, WP:left, forward, -11.63, right, 0.76, None, 2.37, left, -9.60, None, 2.37
L:green, O:forward, L:forward, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, -9.89, forward, 0.00
L:green, O:left, L:None, WP:forward, forward, 1.36, right, 0.43, None, 0.00, left, 0.00, forward, 1.36
L:green, O:left, L:left, WP:forward, forward, 0.00, right, 0.30, None, 0.00, left, 0.00, right, 0.30
L:red, O:None, L:right, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:red, O:None, L:left, WP:forward, forward, -4.61, right, 0.00, None, 0.00, left, 0.00, right, 0.00
L:red, O:left, L:forward, WP:forward, forward, -20.15, right, 0.00, None, 1.13, left, 0.00, None, 1.13
L:green, O:left, L:right, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 0.99, left, 0.99
L:green, O:None, L:right, WP:forward, forward, 0.51, right, 0.73, None, -2.76, left, 0.14, right, 0.73
L:green, O:None, L:left, WP:right, forward, 0.20, right, 1.84, None, -2.36, left, -0.17, right, 1.84
L:green, O:right, L:left, WP:right, forward, 0.00, right, 1.32, None, 0.00, left, 0.00, right, 1.32
L:red, O:None, L:left, WP:left, forward, -4.68, right, 0.33, None, 0.00, left, 0.00, right, 0.33
L:red, O:right, L:right, WP:right, forward, 0.00, right, 0.00, None, 1.06, left, 0.00, None, 1.06
L:green, O:right, L:None, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:green, O:None, L:forward, WP:right, forward, 0.62, right, 1.88, None, -2.06, left, 0.23, right, 1.88
L:red, O:forward, L:left, WP:forward, forward, 0.00, right, 0.00, None, 0.95, left, -5.26, None, 0.95
L:green, O:left, L:forward, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 1.00, left, 1.00
L:green, O:left, L:forward, WP:right, forward, -0.02, right, 0.00, None, 0.22, left, 0.00, None, 0.22
L:green, O:left, L:forward, WP:forward, forward, 0.00, right, 0.00, None, 0.59, left, 0.00, None, 0.59
L:red, O:right, L:None, WP:right, forward, 0.00, right, 0.00, None, 1.56, left, 0.00, None, 1.56
L:red, O:right, L:forward, WP:right, forward, 0.00, right, 0.00, None, 0.69, left, -19.54, None, 0.69
L:green, O:right, L:right, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:red, O:forward, L:forward, WP:left, forward, -20.14, right, -10.37, None, 0.00, left, 0.00, None, 0.00
L:red, O:forward, L:forward, WP:right, forward, -19.76, right, -9.67, None, 0.73, left, 0.00, None, 0.73
L:green, O:left, L:None, WP:left, forward, 0.15, right, 0.67, None, 0.00, left, 2.12, left, 2.12
L:red, O:forward, L:right, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, -5.20, forward, 0.00
L:red, O:forward, L:left, WP:right, forward, 0.00, right, 0.00, None, 1.23, left, 0.00, None, 1.23
L:red, O:left, L:forward, WP:right, forward, -19.73, right, 0.00, None, 0.00, left, -19.69, right, 0.00
L:red, O:None, L:None, WP:right, forward, -14.92, right, 1.91, None, 1.13, left, 0.00, right, 1.91
L:green, O:right, L:None, WP:right, forward, 0.17, right, 0.00, None, -2.19, left, 0.00, forward, 0.17
L:red, O:right, L:None, WP:left, forward, -5.01, right, 0.00, None, 0.46, left, -19.98, None, 0.46
L:red, O:forward, L:forward, WP:forward, forward, 0.00, right, -9.66, None, 1.76, left, 0.00, None, 1.76
L:red, O:left, L:left, WP:right, forward, -5.29, right, 0.88, None, 0.00, left, 0.00, right, 0.88
L:red, O:left, L:None, WP:right, forward, 0.00, right, 1.76, None, 2.12, left, 0.00, None, 2.12
L:green, O:right, L:left, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:red, O:forward, L:None, WP:left, forward, 0.00, right, 1.35, None, 0.00, left, 0.00, right, 1.35
L:red, O:forward, L:None, WP:forward, forward, 0.00, right, 0.31, None, 1.89, left, -10.12, None, 1.89
L:red, O:None, L:right, WP:forward, forward, 0.00, right, 0.62, None, 1.98, left, -4.71, None, 1.98
L:green, O:right, L:left, WP:left, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:green, O:left, L:left, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, 1.03, left, 1.03
L:red, O:None, L:None, WP:forward, forward, -9.64, right, 0.19, None, 2.03, left, -8.96, None, 2.03
L:red, O:forward, L:None, WP:right, forward, 0.00, right, 0.25, None, 1.64, left, -7.41, None, 1.64
L:red, O:right, L:left, WP:forward, forward, 0.00, right, -0.01, None, 0.00, left, 0.00, forward, 0.00
L:red, O:None, L:forward, WP:left, forward, -19.69, right, -10.25, None, 2.15, left, -19.98, None, 2.15
L:green, O:left, L:right, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:red, O:None, L:left, WP:right, forward, -4.77, right, 0.00, None, 1.30, left, 0.00, None, 1.30
L:red, O:None, L:forward, WP:forward, forward, -20.05, right, -10.47, None, 1.99, left, 0.00, None, 1.99
L:green, O:forward, L:left, WP:right, forward, 0.00, right, 0.56, None, 0.00, left, 0.00, right, 0.56
L:red, O:forward, L:right, WP:right, forward, -4.50, right, 1.15, None, 0.00, left, 0.00, right, 1.15
L:red, O:left, L:left, WP:forward, forward, 0.00, right, 0.00, None, 0.42, left, -7.13, None, 0.42
L:green, O:None, L:forward, WP:left, forward, 0.75, right, 0.09, None, -2.93, left, 0.00, forward, 0.75
L:green, O:None, L:left, WP:forward, forward, 2.25, right, 0.00, None, 0.00, left, 0.81, forward, 2.25
L:green, O:forward, L:None, WP:right, forward, 0.00, right, 1.76, None, -5.01, left, 0.00, right, 1.76
L:red, O:None, L:right, WP:left, forward, -4.77, right, 0.00, None, 0.00, left, -5.10, right, 0.00
L:red, O:left, L:left, WP:left, forward, -6.86, right, 0.00, None, 0.00, left, 0.00, right, 0.00
L:green, O:None, L:None, WP:right, forward, 0.76, right, 1.65, None, -4.25, left, 0.59, right, 1.65
L:green, O:forward, L:left, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, 0.00, forward, 0.00
L:green, O:forward, L:right, WP:right, forward, 0.00, right, 0.95, None, 0.00, left, -10.05, right, 0.95
L:green, O:right, L:None, WP:forward, forward, 1.66, right, 0.17, None, -2.48, left, 0.00, forward, 1.66
L:red, O:left, L:forward, WP:left, forward, -20.20, right, -9.59, None, 0.00, left, -19.55, None, 0.00
L:green, O:forward, L:None, WP:left, forward, 0.00, right, 1.38, None, 0.00, left, 0.00, right, 1.38
L:green, O:None, L:forward, WP:forward, forward, 0.00, right, 0.42, None, 0.00, left, 0.23, right, 0.42
L:green, O:forward, L:right, WP:forward, forward, 0.00, right, 0.00, None, 0.00, left, -9.63, forward, 0.00
L:green, O:left, L:left, WP:left, forward, 0.55, right, 0.00, None, 0.00, left, 1.13, left, 1.13
L:green, O:forward, L:None, WP:forward, forward, 1.70, right, 0.02, None, 0.00, left, -18.04, forward, 1.70
L:red, O:right, L:None, WP:forward, forward, 0.00, right, 0.45, None, 0.00, left, 0.00, right, 0.45
L:red, O:left, L:right, WP:right, forward, 0.00, right, 0.00, None, 0.00, left, -5.23, forward, 0.00
