trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-227.26303534389982,"{0: 17, 1: 5, 2: 10, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9425959091337544}",20,0,-104.2098392209847,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8899964400142398}",25,0,-103.73561890906745,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.84167999326656}",20,8,-41.37185166774629,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7971938775510203}",25,0,-57.22614076886129,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7561436672967863}",20,0,-87.79720843115179,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7181844297615626}",25,0,-25.081311783947573,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6830134553650705}",30,0,-188.27265358489416,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6503642039542141}",20,0,-10.543739130641784,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6200012400024798}",25,0,-131.8159021575564,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.5917159763313607}",25,4,-0.7061128314394345,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5653230821414436}",20,0,-47.49293203107509,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5406574394463666}",30,0,-57.08672317253306,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5175715542673772}",30,0,-142.15146051971524,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.49593334655822235}",25,0,-13.63389839344398,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.47562425683709836}",30,0,-98.07640073734228,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.4565376186997806}",25,0,-24.181767221712704,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.43857725538353554}",25,19,12.061427445545805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.42165626581210974}",25,2,-30.844240763344036,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.4056959714390034}",25,0,3.2299002894177082,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.3906249999999997}",25,0,-12.47388428946256,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.37637848620572817}",25,0,-73.72558128616275,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
