/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

L:green, O:right, L:forward, WP:forward, forward, 1.74, right, 0.27, None, 0.00, left, 0.00, forward, 1.74
L:green, O:None, L:left, WP:right, forward, 0.66, right, 0.00, None, -3.91, left, 0.47, forward, 0.66
L:red, O:right, L:forward, WP:left, forward, -20.25, right, -10.23, None, 0.00, left, -19.81, None, 0.00
L:green, O:right, L:left, WP:left, forward, 0.00, right, 0.16, None, 0.00, left, 0.00, right, 0.16
L:green, O:forward, L:forward, WP:left, forward, 0.00, right, 0.67, None, 0.00, left, 0.00, right, 0.67
L:red, O:left, L:forward, WP:forward, forward, -29.71, right, 0.00, None, 1.11, left, -19.53, None, 1.11
L:green, O:forward, L:left, WP:right, forward, 0.31, right, 2.28, None, 0.00, left, 0.00, right, 2.28
L:green, O:right, L:None, WP:right, forward, 0.12, right, 0.00, None, -2.06, left, 0.00, forward, 0.12
L:green, O:None, L:right, WP:left, forward, 0.00, right, 0.00, None, -2.98, left, 2.55, left, 2.55
L:red, O:left, L:left, WP:right, forward, 0.00, right, 0.00, None, 1.31, left, -4.84, None, 1.31
L:red, O:None, L:right, WP:forward, forward, 0.00, right, 0.00, None, 2.17, left, -5.24, None, 2.17
L:green, O:left, L:None, WP:right, forward, 0.40, right, 1.99, None, 0.15, left, 0.36, right, 1.99
L:green, O:left, L:forward, WP:left, forward, 0.00, right, 0.86, None, 0.00, left, 0.00, right, 0.86
L:red, O:None, L:left, WP:right, forward, -16.50, right, 1.53, None, 1.23, left, -5.49, right, 1.53
L:green, O:left, L:right, WP:forward, forward, 0.00, right, 1.06, None, 0.00, left, 0.00, right, 1.06
L:red, O:left, L:right, WP:right, forward, 0.00, right, 0.00, None, 1.16, left, -6.87, None, 1.16
L:red, O:None, L:right, WP:left, forward, -5.28, right, 0.00, None, 1.30, left, 0.00, None, 1.30
L:green, O:forward, L:forward, WP:forward, forward, 0.00, right, 0.58, None, -2.86, left, 0.00, right, 0.58
L:green, O:forward, L:forward, WP:right, forward, 0.00, right, 1.30, None, -2.11, left, -15.29, right, 1.30
L:green, O:left, L:None, WP:forward, forward, 2.06, right, 0.83, None, 0.00, left, 0.32, forward, 2.06
L:red, O:right, L:right, WP:right, forward, -4.50, right, 0.00, None, 0.00, left, -20.49, right, 0.00
