trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.73965360033762,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.52128812262603,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.98457295990755,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.4020677857298,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.3899966670402,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.11403918182856,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.70860445545543,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.5296013494139,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.8217508470413,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.17409801480488,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.33027644238639,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.34409921421627,"{0: 10, 1: 4, 2: 1, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.59102357085865,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-247.03430852664582,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.4505409345451,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.67711715654602,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.33588892636226,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.91091138749772,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.8044528283157,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.25480000752586,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-92.74691853180582,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-148.08982588299233,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-44.03860932998184,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-106.84022408632818,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-117.3911941246981,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-151.86221117954707,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-138.4200015963466,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.22828604162736,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,16,7.787477504657073,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-58.24893339494978,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",30,0,-62.65455806614893,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.29881230817065,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,0,-67.19163588241295,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.34775217822519,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,True,"{'a': 0.0, 'e': 0.0}",25,0,-226.7801234807239,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
16,True,"{'a': 0.0, 'e': 0.0}",30,2,-77.99298166399984,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 1}",1
17,True,"{'a': 0.0, 'e': 0.0}",30,15,-39.903090355905896,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",30,0,-133.5185338645736,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-150.27852205858738,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.20122378380941,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
21,True,"{'a': 0.0, 'e': 0.0}",20,0,-97.23226980972956,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
22,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.42517551461876,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
23,True,"{'a': 0.0, 'e': 0.0}",25,0,-89.26246343469204,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
24,True,"{'a': 0.0, 'e': 0.0}",35,0,-280.2309088134519,"{0: 16, 1: 3, 2: 10, 3: 3, 4: 3}",0
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-113.22022683601571,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
26,True,"{'a': 0.0, 'e': 0.0}",25,0,-171.78050608817975,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
27,True,"{'a': 0.0, 'e': 0.0}",30,0,-197.78468965714396,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,-89.40484633783942,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,0,-200.58705270983364,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.6678558704532,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
31,True,"{'a': 0.0, 'e': 0.0}",20,0,-143.80942839605453,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.55381010854347,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
33,True,"{'a': 0.0, 'e': 0.0}",30,6,-134.5552057070508,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 2}",1
34,True,"{'a': 0.0, 'e': 0.0}",20,0,-117.66444067643158,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,11,-107.61126416806991,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
36,True,"{'a': 0.0, 'e': 0.0}",30,0,-238.54116463659875,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,0,-198.45940636526544,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.79169172266376,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.83497063686439,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-28.658049580451816,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.79797768938441,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
42,True,"{'a': 0.0, 'e': 0.0}",25,0,-96.12028003740815,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",30,0,-160.70601548095388,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
44,True,"{'a': 0.0, 'e': 0.0}",25,0,-75.83278090378519,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,True,"{'a': 0.0, 'e': 0.0}",25,13,-56.05200276121095,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,True,"{'a': 0.0, 'e': 0.0}",30,0,-100.44689814355522,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
47,True,"{'a': 0.0, 'e': 0.0}",30,0,-317.7276896733269,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 5}",0
48,True,"{'a': 0.0, 'e': 0.0}",25,0,-149.14938401629337,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
49,True,"{'a': 0.0, 'e': 0.0}",30,0,-150.1426482069977,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
50,True,"{'a': 0.0, 'e': 0.0}",25,0,-67.49837340390548,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
51,True,"{'a': 0.0, 'e': 0.0}",30,0,-204.96586627299502,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
52,True,"{'a': 0.0, 'e': 0.0}",30,2,-144.64184915519274,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 2}",1
53,True,"{'a': 0.0, 'e': 0.0}",25,4,-154.04017580205786,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 3}",1
54,True,"{'a': 0.0, 'e': 0.0}",25,0,-85.47351365818778,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
55,True,"{'a': 0.0, 'e': 0.0}",20,0,-37.89947744525795,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
56,True,"{'a': 0.0, 'e': 0.0}",25,0,-191.58662403182262,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
57,True,"{'a': 0.0, 'e': 0.0}",25,0,-80.87128407420927,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
58,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.87089819732462,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
59,True,"{'a': 0.0, 'e': 0.0}",20,0,-70.96682400425075,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
60,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.835057553154,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
